voter_id,voter_age,voter_gender,candidate_id
520-305-934,55,Male,151-426
658-108-706,25,Female,855-525
377-704-883,87,Female,875-393
949-671-777,48,Male,213-846
367-577-704,82,Male,855-525
293-224-863,66,Male,855-525
941-887-689,54,Male,521-757
868-119-987,43,Male,213-846
663-960-403,87,Male,151-426
144-194-185,24,Female,855-525
556-362-472,62,Male,151-426
581-688-951,80,Male,855-525
651-375-759,24,Male,855-525
656-647-190,49,Male,521-757
498-717-425,44,Male,151-426
485-799-997,35,Female,855-525
791-293-758,41,Male,855-525
352-797-966,54,Male,875-393
747-963-423,47,Male,521-757
600-501-739,75,Female,151-426
381-416-211,37,Male,875-393
822-135-181,27,Male,521-757
377-864-420,21,Male,855-525
217-728-702,60,Male,875-393
835-828-797,41,Female,875-393
644-531-211,69,Female,151-426
393-569-234,72,Female,855-525
244-695-985,81,Male,521-757
736-303-894,57,Female,213-846
695-860-747,26,Male,151-426
576-794-716,32,Female,213-846
263-240-247,76,Female,855-525
496-562-256,45,Female,213-846
450-567-397,75,Male,213-846
716-864-110,52,Female,213-846
302-515-458,22,Male,875-393
799-121-747,58,Female,521-757
729-842-581,24,Female,151-426
483-481-265,24,Female,521-757
227-719-901,57,Female,213-846
959-934-310,73,Male,875-393
309-760-165,70,Male,151-426
663-796-265,89,Male,521-757
864-186-587,29,Female,855-525
561-804-856,18,Female,855-525
449-579-595,28,Female,213-846
715-793-255,28,Male,875-393
461-461-637,76,Male,855-525
300-519-629,68,Female,855-525
493-580-744,36,Female,875-393
238-437-636,39,Male,855-525
101-475-839,69,Male,151-426
986-652-927,90,Female,213-846
774-289-234,52,Male,213-846
614-940-566,24,Female,151-426
704-229-467,19,Female,855-525
550-934-436,41,Male,521-757
729-735-180,89,Female,855-525
881-239-267,60,Female,521-757
875-946-341,48,Male,521-757
637-804-488,24,Female,213-846
119-885-670,87,Male,855-525
422-949-476,46,Male,521-757
921-387-130,75,Male,213-846
869-593-847,45,Female,875-393
587-133-770,77,Male,521-757
459-709-554,59,Male,151-426
172-593-499,48,Male,521-757
667-866-818,86,Male,521-757
496-123-809,26,Male,151-426
204-746-873,43,Female,213-846
989-963-750,49,Male,521-757
335-748-503,20,Male,151-426
667-248-736,32,Male,875-393
844-164-114,58,Female,213-846
309-196-478,45,Male,875-393
569-995-652,77,Male,213-846
811-492-183,19,Female,213-846
175-340-741,41,Female,875-393
934-291-564,48,Male,855-525
826-994-385,22,Female,521-757
793-246-334,34,Female,151-426
303-929-517,61,Female,213-846
886-936-190,47,Male,521-757
671-991-120,87,Female,521-757
195-497-732,28,Female,521-757
835-899-970,66,Male,213-846
901-522-808,51,Female,151-426
870-455-815,69,Male,875-393
874-373-830,54,Female,213-846
621-211-961,89,Female,151-426
758-833-639,44,Female,151-426
684-117-314,50,Male,875-393
891-817-904,19,Male,151-426
977-712-845,69,Male,151-426
667-934-320,36,Female,151-426
724-164-186,26,Male,151-426
907-840-710,32,Female,875-393
436-933-101,28,Male,521-757
981-849-143,35,Male,521-757
489-126-366,24,Male,855-525
386-616-278,75,Male,875-393
538-543-809,27,Female,151-426
367-391-807,83,Male,855-525
551-340-248,69,Female,875-393
601-657-602,43,Male,151-426
752-105-694,76,Female,151-426
139-955-436,47,Male,875-393
691-205-188,22,Female,521-757
920-161-854,54,Female,855-525
318-968-686,28,Female,151-426
791-871-872,39,Male,213-846
218-242-566,40,Female,151-426
483-721-330,67,Male,151-426
758-404-628,57,Female,521-757
918-100-792,49,Male,855-525
729-321-405,30,Female,521-757
840-335-982,22,Female,151-426
178-868-137,64,Male,521-757
892-423-227,44,Male,213-846
497-938-236,68,Male,875-393
726-297-990,61,Female,213-846
489-504-324,48,Female,521-757
358-706-423,71,Female,875-393
294-124-542,64,Male,875-393
801-571-576,51,Male,213-846
728-273-163,49,Female,875-393
867-388-339,74,Female,855-525
807-878-104,80,Female,213-846
384-705-974,56,Female,875-393
789-496-477,58,Male,151-426
208-336-386,65,Male,521-757
212-698-835,53,Female,213-846
922-761-686,90,Female,213-846
737-724-416,78,Female,521-757
379-446-421,49,Female,213-846
385-532-118,71,Male,875-393
191-206-423,81,Male,855-525
509-411-335,70,Male,213-846
304-498-935,44,Female,213-846
652-152-611,55,Female,855-525
143-798-762,65,Male,521-757
428-210-829,25,Male,875-393
737-525-417,87,Female,151-426
499-473-441,86,Female,875-393
163-811-261,22,Female,213-846
378-728-468,67,Female,151-426
156-906-925,36,Female,521-757
307-314-149,46,Female,855-525
995-597-860,35,Male,151-426
897-109-673,80,Male,213-846
715-137-839,70,Female,151-426
328-140-520,37,Male,855-525
438-454-134,53,Female,875-393
157-384-457,68,Male,151-426
401-306-194,24,Male,855-525
255-177-665,41,Female,151-426
807-871-812,75,Male,151-426
510-243-829,87,Male,151-426
905-475-283,43,Female,521-757
831-262-333,46,Male,521-757
279-630-804,80,Male,875-393
858-544-138,70,Male,855-525
653-874-888,32,Female,151-426
843-466-840,60,Male,151-426
688-111-964,51,Male,521-757
344-556-291,19,Male,875-393
369-438-697,56,Female,151-426
542-285-716,63,Male,855-525
627-255-955,22,Male,855-525
687-630-464,34,Male,213-846
338-463-497,70,Male,521-757
920-167-698,69,Male,213-846
942-477-481,52,Female,213-846
458-584-742,44,Female,875-393
820-488-321,49,Female,875-393
426-599-249,46,Male,855-525
745-507-181,29,Female,151-426
247-159-460,84,Female,213-846
224-893-659,81,Female,521-757
828-798-482,28,Male,213-846
997-550-230,42,Female,151-426
492-366-623,77,Female,151-426
119-564-846,54,Male,213-846
821-665-707,57,Male,855-525
765-185-312,29,Male,521-757
692-366-446,54,Male,875-393
582-466-230,54,Male,855-525
786-311-379,42,Male,213-846
237-195-343,26,Female,855-525
373-536-487,67,Female,521-757
468-410-920,66,Male,151-426
202-468-927,32,Female,875-393
149-282-263,44,Male,213-846
601-269-152,88,Female,875-393
583-387-974,33,Female,151-426
334-974-684,63,Female,213-846
619-200-482,56,Male,151-426
570-912-875,78,Female,521-757
718-230-554,77,Female,151-426
592-889-263,28,Female,151-426
240-220-749,84,Male,521-757
624-110-207,68,Male,875-393
775-411-182,23,Female,151-426
394-855-888,74,Female,855-525
835-706-227,79,Male,151-426
777-346-760,86,Male,855-525
645-606-446,18,Female,213-846
733-289-252,81,Female,213-846
904-510-927,85,Male,855-525
528-604-863,46,Male,855-525
876-144-814,61,Male,521-757
574-436-282,40,Female,213-846
124-910-921,56,Male,875-393
420-519-797,25,Male,855-525
880-546-310,38,Female,521-757
325-513-766,56,Male,875-393
813-681-583,36,Male,521-757
809-259-964,78,Male,875-393
386-908-339,63,Female,521-757
716-262-683,39,Female,855-525
971-493-845,23,Female,151-426
205-238-903,81,Female,151-426
452-212-794,32,Female,151-426
126-277-852,23,Female,213-846
553-739-136,38,Female,855-525
364-326-780,72,Female,521-757
451-408-201,39,Female,521-757
851-919-829,25,Male,875-393
455-826-931,58,Male,521-757
564-239-184,50,Male,875-393
892-437-151,88,Male,521-757
962-104-394,83,Female,213-846
314-214-369,83,Male,151-426
734-740-582,29,Female,521-757
690-377-482,68,Female,521-757
704-583-441,46,Male,151-426
715-430-560,24,Female,213-846
598-883-914,82,Male,151-426
895-285-832,32,Female,521-757
448-841-643,38,Female,521-757
982-795-585,33,Male,151-426
761-234-725,23,Male,213-846
705-124-681,66,Female,213-846
507-975-288,52,Female,151-426
113-217-590,75,Female,213-846
136-625-987,76,Male,875-393
474-369-140,44,Male,521-757
181-248-730,74,Female,151-426
847-351-346,26,Female,855-525
363-909-303,59,Male,521-757
274-973-528,36,Female,521-757
415-917-904,57,Male,875-393
562-146-330,80,Male,875-393
904-345-551,38,Male,855-525
581-621-915,47,Female,151-426
992-624-292,82,Female,213-846
547-573-600,49,Female,875-393
