voter_id,voter_age,voter_gender,candidate_id
754-214-125,53,Male,855-525
242-854-204,87,Male,151-426
532-132-130,29,Male,855-525
617-716-127,89,Male,151-426
529-325-559,53,Male,855-525
814-532-448,53,Male,855-525
881-444-204,29,Female,213-846
467-967-452,51,Male,875-393
649-227-487,28,Female,151-426
982-470-691,42,Male,213-846
777-333-891,55,Male,855-525
987-203-489,53,Female,521-757
266-479-463,44,Female,213-846
723-750-275,86,Male,855-525
573-488-376,89,Male,521-757
963-886-894,25,Male,213-846
924-423-510,52,Male,855-525
680-997-835,58,Male,875-393
505-758-569,36,Female,855-525
352-862-674,86,Female,151-426
538-697-508,64,Male,855-525
621-605-193,24,Male,855-525
742-263-911,72,Male,875-393
490-710-579,85,Female,151-426
981-111-796,32,Female,521-757
214-400-545,38,Female,213-846
839-996-836,51,Male,151-426
208-991-740,56,Male,855-525
482-880-265,87,Male,151-426
431-600-119,32,Female,521-757
345-159-346,90,Male,213-846
849-597-935,26,Male,855-525
775-586-662,39,Female,151-426
993-721-533,45,Male,521-757
508-787-765,65,Female,151-426
562-223-353,46,Male,521-757
121-702-667,47,Male,213-846
172-824-746,25,Male,213-846
132-980-438,27,Male,521-757
785-597-319,87,Male,151-426
690-584-348,78,Female,855-525
196-199-774,73,Female,875-393
520-578-984,24,Male,213-846
512-845-447,31,Male,855-525
294-649-559,35,Female,855-525
385-573-355,27,Female,151-426
200-151-767,87,Male,213-846
871-969-342,39,Female,875-393
592-318-985,69,Male,855-525
488-102-499,51,Female,521-757
533-813-848,89,Female,855-525
294-403-322,25,Male,521-757
158-151-698,79,Male,213-846
620-182-971,41,Male,151-426
169-791-982,48,Female,213-846
683-352-692,23,Male,875-393
773-697-678,84,Female,521-757
309-785-833,58,Male,521-757
505-234-787,56,Female,521-757
869-174-109,76,Male,213-846
650-318-618,51,Male,521-757
170-350-478,54,Male,875-393
953-656-820,56,Male,151-426
406-779-206,35,Female,213-846
209-860-666,37,Female,521-757
719-315-834,61,Male,521-757
617-600-357,24,Male,875-393
949-383-145,18,Female,855-525
752-368-265,74,Female,151-426
109-214-177,37,Male,521-757
696-665-251,73,Male,213-846
415-473-915,23,Female,855-525
798-355-782,31,Female,151-426
995-516-735,37,Male,855-525
919-930-281,70,Male,855-525
854-440-901,70,Male,521-757
263-906-818,31,Female,213-846
979-581-327,43,Female,521-757
412-940-914,47,Male,213-846
775-297-508,60,Female,213-846
891-385-459,83,Female,151-426
439-128-218,51,Male,151-426
371-139-211,73,Female,521-757
546-720-623,32,Female,151-426
294-360-145,73,Male,151-426
925-651-803,43,Female,875-393
171-780-438,58,Male,521-757
619-416-782,70,Female,875-393
813-402-667,34,Male,875-393
780-488-793,40,Female,875-393
661-953-100,56,Female,855-525
540-904-693,59,Female,875-393
552-791-318,83,Female,855-525
774-186-390,83,Female,213-846
938-869-340,57,Male,855-525
250-125-147,49,Female,151-426
970-886-174,76,Female,151-426
299-835-813,67,Female,875-393
349-251-771,18,Male,875-393
324-280-923,84,Female,213-846
670-355-968,33,Female,855-525
920-575-783,85,Female,875-393
727-934-836,82,Female,151-426
556-262-861,78,Female,521-757
869-353-960,53,Female,855-525
381-550-179,54,Male,521-757
443-427-653,28,Male,855-525
336-492-810,37,Male,213-846
524-517-438,87,Female,875-393
163-311-952,71,Female,151-426
812-120-977,66,Female,213-846
460-405-871,67,Female,151-426
865-852-659,46,Female,855-525
379-546-597,21,Female,521-757
784-795-917,69,Male,875-393
230-737-646,21,Female,151-426
677-778-127,28,Female,855-525
987-572-286,24,Female,875-393
435-316-565,59,Female,875-393
384-870-951,71,Female,213-846
581-119-867,87,Male,521-757
329-765-170,23,Male,855-525
304-959-120,37,Male,855-525
584-785-217,90,Male,875-393
816-362-885,65,Male,151-426
721-865-835,32,Male,521-757
210-692-126,57,Female,875-393
832-303-177,49,Male,521-757
970-800-714,33,Male,521-757
645-538-777,65,Male,151-426
763-449-112,71,Female,213-846
543-470-750,76,Male,875-393
280-851-634,52,Female,875-393
546-945-848,52,Female,855-525
950-188-385,75,Male,875-393
683-724-784,66,Female,213-846
606-971-432,41,Female,855-525
463-916-364,61,Female,151-426
818-382-669,19,Male,213-846
347-837-516,80,Male,875-393
761-828-602,75,Male,213-846
401-326-514,49,Female,151-426
477-584-666,85,Female,875-393
863-663-438,63,Female,521-757
413-357-336,33,Male,521-757
222-860-648,41,Male,855-525
856-595-383,85,Female,213-846
952-298-403,47,Female,855-525
409-114-825,86,Male,521-757
146-155-666,55,Male,875-393
205-993-112,54,Female,875-393
551-448-288,24,Female,875-393
216-941-166,69,Female,213-846
690-744-802,24,Male,855-525
930-676-411,28,Male,213-846
671-882-526,46,Female,875-393
553-404-980,72,Female,151-426
735-161-724,30,Male,855-525
370-776-183,38,Male,855-525
665-176-260,18,Female,875-393
805-708-581,55,Male,855-525
395-823-389,76,Male,855-525
370-906-910,43,Female,213-846
657-330-763,37,Female,855-525
173-161-269,57,Female,875-393
227-579-805,56,Female,521-757
612-652-605,74,Male,151-426
140-542-852,59,Female,213-846
193-334-790,20,Female,151-426
141-881-874,40,Female,151-426
767-552-384,41,Female,875-393
193-581-456,70,Female,521-757
786-207-978,38,Female,875-393
810-607-395,69,Male,875-393
190-422-358,59,Male,875-393
985-626-944,18,Female,875-393
155-292-630,64,Female,875-393
878-152-308,52,Male,521-757
548-815-596,33,Male,151-426
918-345-826,38,Female,151-426
114-665-517,29,Male,213-846
572-220-763,37,Female,521-757
621-822-379,71,Female,875-393
349-567-664,36,Female,855-525
713-620-864,35,Male,521-757
891-908-974,71,Female,151-426
373-940-102,54,Female,151-426
693-775-601,37,Female,151-426
595-453-440,88,Female,875-393
429-990-293,48,Female,855-525
976-894-520,23,Female,875-393
822-930-490,67,Male,875-393
137-229-614,60,Male,875-393
202-638-567,19,Male,875-393
991-770-258,27,Female,521-757
446-738-809,68,Male,521-757
972-790-979,86,Female,521-757
741-835-877,80,Male,151-426
170-340-746,54,Male,213-846
544-200-878,30,Female,855-525
810-406-129,23,Female,213-846
400-467-483,73,Male,855-525
643-521-679,41,Male,855-525
180-724-991,66,Male,875-393
697-246-337,77,Female,875-393
361-782-109,77,Female,151-426
261-175-552,62,Female,875-393
806-356-567,56,Male,875-393
973-594-209,48,Female,151-426
467-688-402,55,Male,875-393
381-108-679,24,Female,521-757
894-918-335,63,Male,855-525
735-356-794,35,Male,213-846
416-907-551,22,Female,855-525
192-402-434,71,Male,855-525
235-905-652,64,Female,855-525
363-944-593,55,Female,213-846
579-177-244,46,Female,151-426
474-192-909,68,Male,521-757
649-226-565,65,Female,151-426
490-942-753,65,Male,855-525
582-125-734,89,Female,151-426
326-763-164,77,Female,875-393
219-243-146,22,Female,875-393
218-199-340,86,Male,875-393
564-479-786,87,Female,151-426
860-844-258,71,Male,875-393
730-517-386,22,Female,855-525
554-555-341,64,Male,521-757
657-760-467,25,Female,521-757
294-225-968,76,Male,855-525
757-754-711,20,Male,521-757
349-228-905,90,Male,213-846
949-883-667,44,Male,855-525
436-892-251,18,Female,855-525
233-653-356,40,Male,213-846
234-115-466,48,Female,213-846
278-371-153,34,Female,151-426
216-863-165,78,Female,521-757
625-707-211,75,Male,151-426
144-844-902,84,Female,875-393
758-131-162,79,Female,875-393
802-210-602,74,Male,213-846
429-722-251,26,Male,521-757
739-748-699,88,Female,875-393
711-643-401,76,Female,213-846
912-818-217,88,Male,875-393
562-333-523,61,Female,875-393
525-847-197,58,Female,521-757
781-361-483,37,Female,213-846
193-951-187,29,Female,213-846
862-856-481,34,Male,151-426
675-675-437,33,Female,521-757
994-781-868,72,Male,521-757
714-419-460,31,Male,855-525
772-593-329,31,Female,151-426
476-217-880,53,Male,875-393
965-674-885,89,Male,151-426
773-949-810,52,Male,855-525
379-819-880,57,Female,521-757
106-285-990,36,Female,213-846
245-858-748,21,Male,151-426
320-485-529,76,Female,855-525
478-419-838,59,Male,213-846
259-261-872,24,Male,521-757
553-777-534,80,Female,875-393
379-320-873,83,Male,521-757
540-213-390,80,Female,213-846
325-504-713,25,Male,855-525
408-316-885,35,Female,521-757
435-222-107,81,Female,855-525
232-489-645,47,Female,213-846
506-982-859,23,Female,213-846
570-179-982,58,Female,151-426
514-826-755,71,Female,213-846
514-121-432,39,Female,521-757
190-547-964,31,Male,875-393
703-510-636,28,Female,521-757
863-447-326,60,Male,213-846
622-748-216,85,Male,521-757
459-844-938,36,Male,213-846
249-362-302,40,Male,213-846
281-891-743,81,Female,151-426
878-693-559,90,Female,521-757
254-550-169,78,Female,521-757
915-381-705,25,Female,151-426
